lat,lon,sport,count
39.0061327,-84.6505379,golf,1
39.0057908,-84.6495374,golf,1
39.0050436,-84.6488253,golf,1
39.0064567,-84.6488937,golf,1
39.005498,-84.6481628,golf,1
39.0074593,-84.6476438,golf,1
39.0085983,-84.6462128,golf,1
39.0059034,-84.6456308,golf,1
39.006363,-84.648148,golf,1
39.0075438,-84.6464744,golf,1
39.0524128,-84.5074684,soccer,1
39.0649993,-84.4448663,beachvolleyball,1
39.0622119,-84.4448847,soccer,1
39.0679162,-84.4429952,baseball,1
39.0249146,-84.4519854,baseball,1
38.9537147,-84.3941435,baseball,1
38.9673074,-84.3916924,tennis,1
38.9679014,-84.3904629,american_football,1
38.9664975,-84.3907142,american_football,1
39.0918939,-84.5550464,skateboard,1
39.095377,-84.4814636,skateboard,1
39.0550844,-84.5517654,basketball,1
39.0499604,-84.5530107,tennis,1
39.0183434,-84.5128322,beachvolleyball,1
39.0183782,-84.5126066,tennis,1
39.0188057,-84.5724678,golf,1
39.0151442,-84.5697466,golf,1
39.0143585,-84.5705513,golf,1
39.0135634,-84.5672374,golf,1
39.0149483,-84.5661049,golf,1
39.0182847,-84.5728533,golf,1
39.015885,-84.5695776,golf,1
39.0159476,-84.5655289,golf,1
39.0171907,-84.5691552,golf,1
39.0427233,-84.5770609,basketball,1
39.0179165,-84.6074298,baseball,1
39.0351089,-84.5735423,tennis,1
39.0486542,-84.5610739,basketball,1
39.0488226,-84.561258,basketball,1
38.9772112,-84.5059222,basketball,1
39.0592875,-84.5130833,basketball,1
38.991107,-84.5090169,basketball,1
39.0529548,-84.5131338,basketball,1
38.9809685,-84.6542923,soccer,1
38.9806184,-84.6546946,soccer,1
38.9807502,-84.6550559,soccer,1
39.0676407,-84.5315021,american_football,1
39.0680202,-84.5312815,american_football,1
39.0135502,-84.6100862,soccer,1
39.0090666,-84.5569981,volleyball,1
39.0089879,-84.5568511,volleyball,1
39.0080263,-84.556594,basketball,1
39.0081483,-84.5563189,basketball,1
39.0142903,-84.5659661,golf,1
38.9919484,-84.4980829,basketball,1
39.0965298,-84.5079056,baseball,1
39.0203705,-84.6006473,basketball,1
39.0240717,-84.5957645,beachvolleyball,1
39.0723091,-84.4744549,baseball,1
39.0254293,-84.4592955,tennis,1
39.0227015,-84.4621595,basketball,1
39.0403604,-84.4618377,volleyball,1
39.0294639,-84.4682241,tennis,1
39.0977204,-84.4548554,basketball,1
39.0361484,-84.4665662,beachvolleyball,1
39.0370456,-84.4662833,basketball,1
39.0284209,-84.4664424,beachvolleyball,1
39.0383592,-84.4673064,rugby_union,1
39.0374362,-84.4671763,rugby_union,1
39.0855939,-84.5357891,basketball,1
39.0595324,-84.504878,soccer,1
39.0682484,-84.5328646,tennis,1
39.0681824,-84.5327121,tennis,1
39.0681194,-84.5325648,tennis,1
39.068055,-84.5324108,tennis,1
39.0683508,-84.5322071,tennis,1
39.0684124,-84.5323595,tennis,1
39.0663288,-84.5344488,soccer,1
39.0633313,-84.5310107,shotput,1
39.0662896,-84.5353381,shotput,1
39.0895925,-84.4970085,basketball,1
39.1016597,-84.4871678,american_football,1
38.929939,-84.513527,basketball,1
38.9779647,-84.5064513,american_football,1
39.0447664,-84.4988973,baseball,1
39.0447549,-84.4986064,baseball,1
39.0445977,-84.4991072,basketball,1
39.0445487,-84.4991065,basketball,1
39.0444914,-84.4991079,basketball,1
39.044606,-84.4989509,basketball,1
39.044555,-84.4989509,basketball,1
39.0444987,-84.4989523,basketball,1
39.0821805,-84.5049576,basketball,1
39.0819352,-84.5037744,basketball,1
39.0087635,-84.5575525,soccer,1
39.0087803,-84.5571561,soccer,1
39.0085988,-84.557317,soccer,1
39.0084921,-84.5570888,soccer,1
39.0102589,-84.5672698,basketball,1
39.0103232,-84.5672238,basketball,1
39.0208154,-84.5529275,beachvolleyball,1
39.0504683,-84.5554046,soccer,1
39.050708,-84.5557183,baseball,1
39.0497695,-84.554254,soccer,1
39.0905786,-84.5559023,soccer,1
39.0903141,-84.5556524,soccer,1
39.0921259,-84.554481,american_football,1
39.0828774,-84.4496598,american_football,1
39.058416,-84.4522459,basketball,1
38.9776931,-84.3918391,beachvolleyball,1
38.9554706,-84.3907339,soccer,1
38.9557154,-84.3915148,soccer,1
38.9560425,-84.3910769,soccer,1
38.9560191,-84.3903762,soccer,1
38.9571225,-84.389301,soccer,1
38.9579893,-84.3981271,american_football,1
38.9575276,-84.3984818,soccer,1
39.0977432,-84.4512856,basketball,1
39.0977196,-84.4511948,,1
38.9830259,-84.6546517,basketball,1
38.9809275,-84.6546769,soccer,1
38.9830729,-84.6544712,basketball,1
38.9829071,-84.6547581,,1
38.981067,-84.65509,,1
39.04754,-84.5259112,basketball,1
39.0648188,-84.5366216,soccer,1
39.0652587,-84.5370042,soccer,1
39.0660568,-84.5371258,soccer,1
39.091668,-84.5552737,basketball,1
39.0937681,-84.5388376,basketball,1
38.9780604,-84.5026707,basketball,1
39.0485511,-84.5023337,basketball,1
39.028254,-84.4542724,beachvolleyball,1
39.0281223,-84.4542929,beachvolleyball,1
39.0185302,-84.4314615,chess,1
39.0242693,-84.5954258,soccer,1
39.0629939,-84.4436166,soccer,1
39.0626111,-84.4432121,soccer,1
39.0618178,-84.4441605,soccer,1
39.0616178,-84.4446058,american_football,1
39.0645606,-84.4448833,basketball,1
38.9792678,-84.6184696,basketball,1
39.0004357,-84.6289708,basketball,1
